date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:38	172823/172823	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Apr%202022%2016:54:43%20GMT	https://www.sonymusic.com/	C:/My%20Web%20Sites/Sony/www.sonymusic.com/index.html	(from )
22:25:39	69/69	---MCZ	200	added ('OK')	text/plain	date:Mon,%2004%20Apr%202022%2014:22:31%20GMT	https://www.sonymusic.com/robots.txt		(from )
22:25:39	726/726	---M--	200	added ('OK')	image/png	etag:%2262419b95-db7%22	https://www.sonymusic.com/wp-content/themes/sonymusic/inc/images/menu_icon.png	C:/My%20Web%20Sites/Sony/www.sonymusic.com/wp-content/themes/sonymusic/inc/images/menu_icon.png	(from https://www.sonymusic.com/)
22:25:39	54196/54196	---MCZ	200	added ('OK')	text/css	etag:W/%2262419b95-d3b4%22	https://www.sonymusic.com/wp-content/themes/sonymusic/css/main-style.css	C:/My%20Web%20Sites/Sony/www.sonymusic.com/wp-content/themes/sonymusic/css/main-style.css	(from https://www.sonymusic.com/)
22:25:40	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%2260510736-e238%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/fontawesome.min.css	C:/My%20Web%20Sites/Sony/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/fontawesome.min.css	(from https://www.sonymusic.com/)
22:25:41	675/675	---M-Z	200	added ('OK')	text/css	etag:%2260510736-2a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/brands.min.css	C:/My%20Web%20Sites/Sony/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/brands.min.css	(from https://www.sonymusic.com/)
22:25:42	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2004%20Apr%202022%2016:55:45%20GMT	https://www.sonymusic.com/xmlrpc.php	C:/My%20Web%20Sites/Sony/www.sonymusic.com/xmlrpc.php	(from https://www.sonymusic.com/)
22:25:42	83369/83369	---MCZ	200	added ('OK')	text/css	etag:W/%226231db51-145a9%22	https://www.sonymusic.com/wp-includes/css/dist/block-library/style.min.css?ver=db08b26c7fbfb7d29ddf7bee68b488d1	C:/My%20Web%20Sites/Sony/www.sonymusic.com/wp-includes/css/dist/block-library/style.min15e0.css	(from https://www.sonymusic.com/)
22:25:42	397/397	---MCZ	200	added ('OK')	text/css	etag:W/%226231db5b-18d%22	https://www.sonymusic.com/wp-content/mu-plugins/sme-security/inc/public/admin-style-7b635867.css	C:/My%20Web%20Sites/Sony/www.sonymusic.com/wp-content/mu-plugins/sme-security/inc/public/admin-style-7b635867.css	(from https://www.sonymusic.com/)
22:25:42	38207/38207	---MCZ	200	added ('OK')	text/css	etag:W/%2262419b95-953f%22	https://www.sonymusic.com/wp-content/plugins/custom-twitter-feeds-pro/css/ctf-styles.min.css?ver=1.14	C:/My%20Web%20Sites/Sony/www.sonymusic.com/wp-content/plugins/custom-twitter-feeds-pro/css/ctf-styles.mind50e.css	(from https://www.sonymusic.com/)
